Id,Title,Genres,Popularity,Release Date,Original Language,Vote Average,Vote Count,Overview
155,The Dark Knight,"['Drama', 'Action', 'Crime', 'Thriller']",82.214,2008-07-14,en,8.51,30011,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
122,The Lord of the Rings: The Return of the King,"['Adventure', 'Fantasy', 'Action']",74.454,2003-12-01,en,8.477,21810,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm."
569094,Spider-Man: Across the Spider-Verse,"['Action', 'Adventure', 'Animation', 'Science Fiction']",1648.384,2023-05-31,en,8.53,2110,"After reuniting with Gwen Stacy, Brooklynâ€™s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverseâ€™s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most."
27205,Inception,"['Action', 'Science Fiction', 'Adventure']",86.087,2010-07-15,en,8.363,33958,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
120,The Lord of the Rings: The Fellowship of the Ring,"['Adventure', 'Fantasy', 'Action']",91.459,2001-12-18,en,8.4,22920,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
121,The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']",79.678,2002-12-18,en,8.4,19917,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
603,The Matrix,"['Action', 'Science Fiction']",81.99,1999-03-30,en,8.204,23418,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
1891,Star Wars: Episode V - The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']",26.903,1980-05-20,en,8.4,15500,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
595228,Soorarai Pottru,"['Drama', 'Action']",14.19,2020-11-12,ta,7.8,60,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
280,Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']",86.036,1991-07-03,en,8.098,11491,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah."
11,Star Wars,"['Adventure', 'Action', 'Science Fiction']",86.052,1977-05-25,en,8.204,18845,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
346,Shichinin no samurai,"['Action', 'Drama']",28.292,1954-04-26,ja,8.461,3102,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food."
76659,Seppuku,['Horror'],1.167,1990-01-01,ja,4.6,9,"The only difference with this one as opposed to the other ""entries"" - is this one has 2 girls committing suicide, and they are outdoors and wearing samurai style outfits as opposed to Japanese robes or some other ""costume"". Also, they stab themselves with samurai swords instead of the typical shorter ritual knives..."
894803,Sita Ramam,"['Romance', 'Drama']",4.963,2022-08-05,te,7.817,41,"Afreen, a rebellious Pakistani student sets ablaze the car of an Indian in London. Angered Afreen returns to Pakistan to ask for money from her grandfather that she has to pay in a month's time as damages. However, she gets to know that he is no more and the only thing he has left for her is a letter-delivering task, written by Ram to Sita. As Afreen sets out to find Ram, there begins her journey of discovering the secret behind the 20-year-old letter."
98,Gladiator,"['Action', 'Drama', 'Adventure']",53.758,2000-05-04,en,8.206,16636,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."
101,LÃ©on,"['Crime', 'Drama', 'Action']",52.855,1994-09-14,en,8.318,13388,"LÃ©on, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in LÃ©on's footsteps."
85,Raiders of the Lost Ark,"['Adventure', 'Action']",97.187,1981-06-12,en,7.924,11177,"When Dr. Indiana Jones â€“ the tweed-suited professor who just happens to be a celebrated archaeologist â€“ is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
324857,Spider-Man: Into the Spider-Verse,"['Action', 'Adventure', 'Animation', 'Science Fiction']",386.959,2018-12-06,en,8.4,13472,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension."
299534,Avengers: Endgame,"['Adventure', 'Science Fiction', 'Action']",132.298,2019-04-24,en,8.3,23441,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
679,Aliens,"['Action', 'Thriller', 'Science Fiction']",65.881,1986-07-18,en,7.923,8557,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her storyâ€”all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']",74.674,2012-07-16,en,7.777,20995,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
299536,Avengers: Infinity War,"['Adventure', 'Action', 'Science Fiction']",247.68,2018-04-25,en,8.26,27195,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
670,Oldeuboi,"['Drama', 'Thriller', 'Mystery', 'Action']",29.037,2003-11-21,ko,8.271,7582,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors."
587030,Kaithi,"['Action', 'Thriller']",9.788,2019-10-25,ta,7.557,79,"Dilli, a convicted criminal, is out on parole to meet his daughter. However, a drug bust sets him off on a mission to save the life of police officers."
576928,Asuran,"['Action', 'Drama']",5.438,2019-10-02,ta,7.9,67,A family from the underprivileged class is on the run after the teenaged son kills a rich man from the upper caste. Can the pacifist father be able to save his hot-blooded son?
361743,Top Gun: Maverick,"['Action', 'Drama']",279.977,2022-05-24,en,8.276,7111,"After more than thirty years of service as one of the Navyâ€™s top aviators, and dodging the advancement in rank that would ground him, Pete â€œMaverickâ€ Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen."
949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",55.909,1995-12-15,en,7.899,6353,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
1892,Star Wars: Episode VI - Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']",25.654,1983-05-25,en,7.891,14341,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star."
128,Mononoke-hime,"['Adventure', 'Fantasy', 'Animation']",36.206,1997-07-12,ja,8.3,7052,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."
213,North by Northwest,"['Mystery', 'Thriller']",18.702,1959-07-08,en,7.992,3636,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase."
360814,Dangal,"['Drama', 'Family', 'Comedy', 'Action']",15.94,2016-12-21,hi,7.956,837,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers."
858485,Kantara,"['Action', 'Drama', 'Thriller']",5.93,2022-09-30,kn,7.6,56,"Shiva, a tribal vagabond lives with his mother in hamlet, stays away from the traditional Daivaradhane and Bhoota Kola legacy due to an unforgettable childhood incident. He is happy loafing around with his friends and doing petty jobs for his landlord. When Forest officer Murali enters the scene, it gives a fresh dimension to the man-vs-nature fight. Can Shiva save the forest from Murali? Or is Murali just a dummy bait cast by bigger fish?"
587412,K.G.F: Chapter 2,"['Action', 'Crime', 'Drama']",22.774,2022-04-14,kn,7.642,106,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy."
578060,Vikram,['Action'],1.4,1986-05-23,te,7.0,1,"Vikram is a 1986 Telugu film directed by V. Madhusudhana Rao, produced by Akkineni Venkat under the Annapurna Studios banner. Akkineni Nagarjuna and Sobhana played the lead roles and the music was composed by Chakravarthy. The film was a remake of the Hindi film Hero (1983) and it is the first debut of Akkineni Nagarjuna as a hero. The film was recorded as a Hit at the box office."
599925,Shershaah,"['Action', 'Drama', 'Thriller', 'War']",5.997,2021-08-12,hi,7.266,62,"Inspired by the life of Captain Vikram Batra (PVC), the film celebrates his bravery, valiant spirit and honors his invaluable sacrifice during the Kargil War of 1999, at the age of 24."
412862,Ratsasan,"['Action', 'Thriller', 'Crime']",9.042,2018-10-05,ta,7.537,121,"A serial killer is murdering school girls, and a newbie cop has to track him down before the victim count increases."
447365,Guardians of the Galaxy Vol. 3,"['Science Fiction', 'Adventure', 'Action']",3135.553,2023-05-03,en,8.148,2619,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them."
